Staten Island Rolling Sales File.  All Sales From August 2012 - August 2013. ,,,,,,,,,,,,,,,,,,,,
Sales File as of 08/30/2013  Coop Sales Files as of 09/18/2013,,,,,,,,,,,,,,,,,,,,
"Neighborhood Name 09/06/13, Descriptive Data is as of 06/01/13",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,"APART
MENT
NUMBER",ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,"SALE
PRICE",SALE DATE
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6249,217, ,A1, 994 ANNADALE ROAD                         ,            ,10312,1,0,1,"4,518","2,208",2012, 1 , A1 ,"$610,948",12/12/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6252,1, ,A2, 87 DOWNES AVENUE                          ,            ,10312,1,0,1,"4,000","2,200",1974, 1 , A2 ,"$480,000",11/9/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6259,40, ,A2, 100 JEFFERSON BOULEVARD                   ,            ,10312,1,0,1,"4,000","1,300",1955, 1 , A2 ,"$485,000",5/23/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6259,40, ,A2, 100 JEFFERSON BOULEVARD                   ,            ,10312,1,0,1,"4,000","1,300",1955, 1 , A2 ,"$360,000",12/19/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6260,14, ,A2, 242 EDGEGROVE AVENUE                      ,            ,10312,1,0,1,"4,000","1,092",1955, 1 , A2 ,$0,1/31/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6260,22, ,A1, 220 EDGEGROVE AVENUE                      ,            ,10312,1,0,1,"24,000","2,396",1925, 1 , A1 ,$0,12/17/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6261,17, ,A2, 237 EDGEGROVE AVENUE                      ,            ,10312,1,0,1,"8,000","1,150",1925, 1 , A2 ,"$497,500",12/17/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6266,27, ,A1, 278 SHELDON AVENUE                        ,            ,10312,1,0,1,"4,000","1,494",1930, 1 , A1 ,"$465,000",5/15/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6267,38, ,A3, 346 JEFFERSON BOULEVARD                   ,            ,10312,1,0,1,"6,000","4,160",2011, 1 , A3 ,"$865,000",5/23/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6268,66, ,A2, 223 SINCLAIR AVENUE                       ,            ,10312,1,0,1,"4,200","1,864",1965, 1 , A2 ,"$500,000",8/23/2012
