"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apart.ment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers"
"187",5,"ARDEN HEIGHTS            ","01  ONE FAMILY HOMES                        ","1",5725,34," ","A5","52 WINSTON STREET                        ","            ",10312,1,0,1,"2,280","1,800",1996,1,"A5","$367,000",2012-10-11,367000,1800,2280,0
"188",5,"ARDEN HEIGHTS            ","01  ONE FAMILY HOMES                        ","1",5725,46," ","A5","24 WINSTON STREET                        ","            ",10312,1,0,1,"1,400","1,420",1997,1,"A5","$328,000",2013-04-19,328000,1420,1400,0
"189",5,"ARDEN HEIGHTS            ","01  ONE FAMILY HOMES                        ","1",5725,184," ","A5","36 HINTON STREET                         ","            ",10312,1,0,1,"2,658","2,284",2003,1,"A5","$390,000",2012-08-09,390000,2284,2658,0
"190",5,"ARDEN HEIGHTS            ","01  ONE FAMILY HOMES                        ","1",5726,59," ","A5","27 BENSON STREET                         ","            ",10312,1,0,1,"2,488","1,900",2004,1,"A5","$408,000",2012-10-11,408000,1900,2488,0
"191",5,"ARDEN HEIGHTS            ","01  ONE FAMILY HOMES                        ","1",5727,5," ","A5","22 KENILWORTH AVENUE                     ","            ",10312,1,0,1,"1,545","1,920",2002,1,"A5","$340,000",2012-10-09,340000,1920,1545,0
"192",5,"ARDEN HEIGHTS            ","01  ONE FAMILY HOMES                        ","1",5727,88," ","A5","186 KENILWORTH AVENUE                    ","            ",10312,1,0,1,"1,366","1,360",1998,1,"A5","$330,000",2013-07-01,330000,1360,1366,0
"194",5,"ARDEN HEIGHTS            ","01  ONE FAMILY HOMES                        ","1",5735,299," ","A5","187 PRESENTATION CIRCLE                  ","            ",10312,1,0,1,"7,518","2,484",2012,1,"A5","$575,311",2013-05-31,575311,2484,7518,0
"195",5,"ARDEN HEIGHTS            ","01  ONE FAMILY HOMES                        ","1",5735,300," ","A5","185 PRESENTATION CIRCLE                  ","            ",10312,1,0,1,"1,982","1,991",2012,1,"A5","$445,000",2013-04-19,445000,1991,1982,0
"196",5,"ARDEN HEIGHTS            ","01  ONE FAMILY HOMES                        ","1",5735,301," ","A5","183 PRESENTATION CIRCLE                  ","            ",10312,1,0,1,"1,972","1,991",2012,1,"A5","$461,370",2013-05-30,461370,1991,1972,0
"197",5,"ARDEN HEIGHTS            ","01  ONE FAMILY HOMES                        ","1",5735,304," ","A5","177 PRESENTATION CIRCLE                  ","            ",10312,1,0,1,"1,972","1,991",2012,1,"A5","$461,370",2013-05-30,461370,1991,1972,0
"198",5,"ARDEN HEIGHTS            ","01  ONE FAMILY HOMES                        ","1",5735,306," ","A5","175 PRESENTATION CIRCLE                  ","            ",10312,1,0,1,"3,944","2,484",2012,1,"A5","$549,855",2013-05-03,549855,2484,3944,0
"199",5,"ARDEN HEIGHTS            ","01  ONE FAMILY HOMES                        ","1",5735,309," ","A5","167 PRESENTATION CIRCLE                  ","            ",10312,1,0,1,"1,972","1,991",2012,1,"A5","$455,000",2013-04-22,455000,1991,1972,0
"200",5,"ARDEN HEIGHTS            ","01  ONE FAMILY HOMES                        ","1",5735,310," ","A5","165 PRESENTATION CIRCLE                  ","            ",10312,1,0,1,"1,972","1,991",2012,1,"A5","$435,000",2013-02-13,435000,1991,1972,0
